"Seq.
No.";Lot;Coil Number;Mother Coil;Grade;Finish;Thickness;Width;Material Processed;PRIME (SLT);KW2;BabyCoil;Scrap;SS;Weighing Balance;Coil Individual Yield;;"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";;;;;
204;424;LTI-GI306721A+B;LTI-GI306721;304L;2B;1,45;770;10.410;10.350;0;0;0;0;60;;;;;;;;;;;;;;;;;;
205;421;LTI-GI306099A+B+C;LTI-GI306099;304L;2B;0,90;770;12.070;12.025;0;0;0;0;45;;;;;;;;;;;;;;;;;;
206;422;LTI-GI306489A+B+C;LTI-GI306489;304L;2B;1,45;768;12.190;12.135;0;0;17;0;38;;;;;;;;;;;;;;;;;;
207;421;LTI-GI306118A+B;LTI-GI306118;304L;2B;0,90;770;8.280;8.250;0;0;5;0;25;;;;;;;;;;;;;;;;;;
208;422;LTI-GI306500A+B;LTI-GI306500;304L;2B;0,80;768;9.995;9.940;0;0;24;0;31;;;;;;;;;;;;;;;;;;
210;421;LTI-GI306059A+B+C;LTI-GI306059;304L;2B;0,90;770;12.250;12.165;0;0;0;0;85;;;;;;;;;;;;;;;;;;
211;421;LTI-GI306215A+B;LTI-GI306215;304L;2B;1,00;770;10.545;10.480;0;0;0;0;65;;;;;;;;;;;;;;;;;;
212;424;TI-GI306605A;TI-GI306605;304;2B;1,50;770;5.225;5.225;0;0;0;0;0;;;;;;;;;;;;;;;;;;
213;424;TI-GI306605B;TI-GI306605;304;2B;1,50;770;5.165;5.110;0;0;0;0;55;;;;;;;;;;;;;;;;;;
214;421;TI-GI306145A+B;TI-GI306145;304;2B;1,00;770;10.505;10.435;0;0;0;0;70;;;;;;;;;;;;;;;;;;
215;421;LTI-GI306187A+B;LTI-GI306187;304L;2B;1,20;770;8.960;8.915;0;0;0;0;45;;;;;;;;;;;;;;;;;;
216;421;LTI-GI306210A+B;LTI-GI306210;304L;2B;0,80;770;10.120;10.080;0;0;0;0;40;;;;;;;;;;;;;;;;;;
217;422;LTI-GI306404A+B;LTI-GI306404;304L;2B;0,90;765;7.015;7.000;0;0;0;0;15;;;;;;;;;;;;;;;;;;
218;422;LTI-GI306533A+B;LTI-GI306533;304L;2B;0,90;768;7.275;7.245;0;0;0;0;30;;;;;;;;;;;;;;;;;;
219;422;LTI-GI306450A+B;LTI-GI306450;304L;2B;0,90;770;8.480;8.430;0;25;0;0;25;;;;;;;;;;;;;;;;;;
220;421;LTI-GI306143A+B;LTI-GI306143;304L;2B;0,80;770;10.535;10.465;0;0;8;0;62;;;;;;;;;;;;;;;;;;
221;422;LTI-GI306378A+B;LTI-GI306378;304L;2B;0,90;766;8.350;8.315;0;0;0;0;35;;;;;;;;;;;;;;;;;;
222;421;LTI-GI306211A+B;LTI-GI306211;304L;2B;0,90;770;10.160;10.115;0;0;0;0;45;;;;;;;;;;;;;;;;;;
223;421;LTI-GI306182A;LTI-GI306182;304L;2B;1,15;770;10.495;10.450;0;0;0;0;45;;;;;;;;;;;;;;;;;;
225;424;TI-GI306758A+B;TI-GI306758;304;2B;2,00;771;10.235;10.110;0;75;0;0;50;;;;;;;;;;;;;;;;;;
226;421;LTI-GI306126A+B;LTI-GI306126;304L;2B;1,15;770;10.470;10.430;0;0;0;0;40;;;;;;;;;;;;;;;;;;
227;421;LTI-GI306104A+B;LTI-GI306104;304L;2B;1,00;770;9.245;9.170;0;0;24;0;51;;;;;;;;;;;;;;;;;;
228;402;TI-GI305373C;TI-GI305373;304/304L;2B;0,80;770;3.955;3.910;0;20;0;0;25;;;;;;;;;;;;;;;;;;
229;421;LTI-GI306216A+B+C;LTI-GI306216;304L;2B;0,90;770;12.185;12.140;0;0;0;0;45;;;;;;;;;;;;;;;;;;
230;421;LTI-GI306107A+B;LTI-GI306107;304L;2B;0,80;770;10.585;10.535;0;0;0;0;50;;;;;;;;;;;;;;;;;;
231;421;LTI-GI306070A+B;LTI-GI306070;304L;2B;1,00;770;10.490;10.445;0;0;0;0;45;;;;;;;;;;;;;;;;;;
232;424;LTI-GI306746A;LTI-GI306746;304L;2B;1,35;772;10.475;10.425;0;0;0;0;50;;;;;;;;;;;;;;;;;;
234;424;LTI-GI306582A+B;LTI-GI306582;304L;2B;1,90;773;10.400;10.345;0;0;0;0;55;;;;;;;;;;;;;;;;;;
235;424;LTI-GI306635A+B;LTI-GI306635;304L;2B;1,10;770;10.440;10.405;0;0;0;0;35;;;;;;;;;;;;;;;;;;
236;422;LTI-GI306405A+B;LTI-GI306405;304L;2B;0,90;766;7.005;6.955;0;30;0;0;20;;;;;;;;;;;;;;;;;;
237;424;LTI-GI306713A+B;LTI-GI306713;304L;2B;2,00;768;10.315;10.255;0;0;0;0;60;;;;;;;;;;;;;;;;;;
238;424;LTI-GI306716A+B;LTI-GI306716;304L;2B;1,20;767;10.215;10.155;0;0;0;0;60;;;;;;;;;;;;;;;;;;
239;422;LTI-GI306532A;LTI-GI306532;304L;2B;0,70;767;3.520;3.520;0;0;0;0;0;;;;;;;;;;;;;;;;;;
240;424;LTI-GI306661A+B;LTI-GI306661;304L;2B;1,20;766;10.365;10.305;0;0;0;0;60;;;;;;;;;;;;;;;;;;
241;424;LTI-GI306649A+B;LTI-GI306649;304L;2B;2,00;768;11.430;11.360;0;0;0;0;70;;;;;;;;;;;;;;;;;;
242;424;LTI-GI306685A+B;LTI-GI306685;304L;2B;1,50;767;11.710;11.600;0;0;36;0;74;;;;;;;;;;;;;;;;;;
243;421;LTI-GI306119A+B;LTI-GI306119;304L;2B;1,01;770;8.310;8.240;0;0;0;0;70;;;;;;;;;;;;;;;;;;
244;424;LTI-GI306589A;LTI-GI306589;304L;2B;1,50;764;10.200;9.470;685;0;0;0;45;;;;;;;;;;;;;;;;;;
245;422;LTI-GI306503A+B;LTI-GI306503;304L;2B;0,90;767;10.405;10.360;0;0;0;0;45;;;;;;;;;;;;;;;;;;
246;421;LTI-GI306186A+B;LTI-GI306186;304L;2B;1,20;770;8.945;8.900;0;0;0;0;45;;;;;;;;;;;;;;;;;;
247;421;LTI-GI306092A+B+C;LTI-GI306092;304L;2B;1,00;770;12.030;11.930;0;30;0;0;70;;;;;;;;;;;;;;;;;;
248;421;LTI-GI306081A+B;LTI-GI306081;304L;2B;1,20;770;10.410;10.355;0;0;0;0;55;;;;;;;;;;;;;;;;;;
249;421;LTI-GI306316A+B;LTI-GI306316;304L;2B;2,00;770;9.505;9.455;0;0;0;0;50;;;;;;;;;;;;;;;;;;
250;424;TI-GI306598A+B+C;TI-GI306598;304;2B;1,50;773;12.040;11.940;0;0;27;0;73;;;;;;;;;;;;;;;;;;
251;422;LTI-GI306433A+B;LTI-GI306433;304L;2B;1,00;770;8.545;8.500;0;0;12;0;33;;;;;;;;;;;;;;;;;;
252;422;LTI-GI306372A+B;LTI-GI306372;304L;2B;0,90;767;10.480;10.415;0;30;0;0;35;;;;;;;;;;;;;;;;;;
253;421;LTI-GI306162A+B;LTI-GI306162;304L;2B;1,20;770;10.380;10.330;0;0;0;0;50;;;;;;;;;;;;;;;;;;
254;424;TI-GI306606A;TI-GI306606;304;2B;1,50;772;10.425;10.385;0;0;0;0;40;;;;;;;;;;;;;;;;;;
255;422;TI-GI306389A+B;TI-GI306389;304;2B;1,01;768;10.465;10.415;0;0;0;0;50;;;;;;;;;;;;;;;;;;
256;422;TI-GI306418A+B;TI-GI306418;304;2B;1,20;770;10.455;10.400;0;0;0;0;55;;;;;;;;;;;;;;;;;;
257;422;LTI-GI306563A+B;LTI-GI306563;304L;2B;2,00;777;10.485;10.435;0;0;0;0;50;;;;;;;;;;;;;;;;;;
258;421;LTI-GI306239A+B;LTI-GI306239;304L;2B;1,15;770;10.575;10.515;0;0;0;0;60;;;;;;;;;;;;;;;;;;
259;421;LTI-GI306306A+B;LTI-GI306306;304L;2B;1,31;770;12.065;11.995;0;0;0;0;70;;;;;;;;;;;;;;;;;;
260;422;LTI-GI306375A;LTI-GI306375;304L;2B;0,95;766;2.465;2.465;0;0;0;0;0;;;;;;;;;;;;;;;;;;
261;424;TI-GI306749A+B+C;TI-GI306749;304;2B;1,31;770;11.845;11.775;0;0;0;0;70;;;;;;;;;;;;;;;;;;
262;422;LTI-GI306375B+C;LTI-GI306375;304L;2B;0,95;766;6.080;6.045;0;0;0;0;35;;;;;;;;;;;;;;;;;;
263;422;LTI-GI306390A+B+C;LTI-GI306390;304L;2B;0,95;769;7.835;7.780;0;0;0;0;55;;;;;;;;;;;;;;;;;;
264;422;LTI-GI306483A+B;LTI-GI306483;304L;2B;0,80;768;10.220;10.175;0;0;0;0;45;;;;;;;;;;;;;;;;;;
265;421;LTI-GI306084A+B;LTI-GI306084;304L;2B;0,90;770;8.005;7.975;0;0;0;0;30;;;;;;;;;;;;;;;;;;
266;424;LTI-GI306577;LTI-GI306577;304L;2B;1,00;768;5.245;5.245;0;0;0;0;0;;;;;;;;;;;;;;;;;;
