"Seq.
No.";Lot;Coil Number;Mother Coil;Grade;Finish;Thickness;Width;Material Processed;PRIME (SLT);KW2;BabyCoil;Scrap;SS;Weighing Balance;Coil Individual Yield;;"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";;;;;
51;422;LTI-GI306560A+B;LTI-GI306560;304L;2B;1,50;773;10.385;10.015;0;180;0;190;0;;;;;;;;;;;;;;;;;;
52;422;LTI-GI306565A+B;LTI-GI306565;304L;2B;1,50;776;10.245;9.885;0;150;0;210;0;;;;;;;;;;;;;;;;;;
53;422;LTI-GI306505B+C;LTI-GI306505;304L;2B;1,50;767;12.090;11.385;435;110;0;0;160;;;;;;;;;;;;;;;;;;
54;424;LTI-GI306586A;LTI-GI306586;304L;2B;1,50;774;5.280;5.185;0;0;5;90;0;;;;;;;;;;;;;;;;;;
55;386;HK204371A1-4+B1-4;HK204371;J3;2B;1,12;595;8.185;7.895;0;0;30;245;15;;;;;;;;;;;;;;;;;;
56;389;GU204439A1-5+B1-5;GU204439;J3;2B;0,92;595;8.220;7.930;0;0;35;255;0;;;;;;;;;;;;;;;;;;
57;389;GU204490A1-5+B1-5;GU204490;J3;2B;0,92;595;8.145;7.810;0;45;0;175;115;;;;;;;;;;;;;;;;;;
58;389;GU204456A1-5+B1-5;GU204456;J3;2B;0,92;595;8.185;8.015;0;50;0;0;120;;;;;;;;;;;;;;;;;;
60;386;HK204400B1-5;HK204400;J3;2B;0,95;595;8.140;7.940;0;40;0;120;40;;;;;;;;;;;;;;;;;;
61;421;LTI-GI306094A;LTI-GI306094;304L;2B;0,74;770;7.235;7.135;0;0;0;0;100;;;;;;;;;;;;;;;;;;
62;421;LTI-GI306077A+B;LTI-GI306077;304L;2B;0,74;770;12.185;11.980;0;65;0;0;140;;;;;;;;;;;;;;;;;;
63;386;HK204388B1-5+C1-5;HK204388;J3;2B;0,95;595;8.190;7.575;0;310;0;290;15;;;;;;;;;;;;;;;;;;
64;386;HK204374A1-5+B1-5;HK204374;J3;2B;0,95;595;8.030;7.850;0;50;0;130;0;;;;;;;;;;;;;;;;;;
65;386;HK204340A1-5+B1-5;HK204340;J3;2B;0,95;595;8.200;8.050;0;0;30;120;0;;;;;;;;;;;;;;;;;;
66;421;LTI-GI306157A+B;LTI-GI306157;304L;2B;0,91;770;10.530;10.285;0;105;30;110;0;;;;;;;;;;;;;;;;;;
67;421;LTI-GI306121A+B;LTI-GI306121;304L;2B;0,60;770;10.525;10.235;0;160;25;105;0;;;;;;;;;;;;;;;;;;
68;421;LTI-GI306183A+B;LTI-GI306183;304L;2B;0,91;770;10.485;10.260;0;95;15;150;-35;;;;;;;;;;;;;;;;;;
69;422;LTI-GI306558A+B;LTI-GI306558;304L;2B;1,90;777;10.520;10.235;0;0;130;150;5;;;;;;;;;;;;;;;;;;
70;422;LTI-GI306474A+B;LTI-GI306474;304L;2B;1,90;770;11.920;11.725;0;0;50;145;0;;;;;;;;;;;;;;;;;;
71;422;LTI-GI306562A+B;LTI-GI306562;304L;2B;1,85;776;10.410;10.110;0;0;60;140;100;;;;;;;;;;;;;;;;;;
72;422;LTI-GI306413A+B;LTI-GI306413;304L;2B;1,85;777;10.215;9.945;0;0;65;205;0;;;;;;;;;;;;;;;;;;
73;424;LTI-GI306586B;LTI-GI306586;304L;2B;1,50;774;5.090;4.965;0;0;40;85;0;;;;;;;;;;;;;;;;;;
75;421;LTI-GI306074A;LTI-GI306074;304L;2B;0,60;770;4.055;4.070;0;0;0;0;-15;;;;;;;;;;;;;;;;;;
76;422;LTI-GI306549A;LTI-GI306549;304L;2B;1,50;773;5.270;5.245;0;0;0;0;25;;;;;;;;;;;;;;;;;;
78;422;LTI-GI306368A;LTI-GI306368;304L;2B;1,50;762;10.480;10.225;0;160;0;0;95;;;;;;;;;;;;;;;;;;
80;386;HK204396AB1-6;HK204396;J3;2B;1,40;595;8.190;7.905;0;0;100;180;5;;;;;;;;;;;;;;;;;;
81;400;EM204679A1-10+B1-10;EM204679;J3;2B;1,10;620;9.880;9.505;0;0;50;325;0;;;;;;;;;;;;;;;;;;
82;400;EM204671A1-4+B1-4;EM204671;J3;2B;0,75;620;9.880;9.660;0;55;15;150;0;;;;;;;;;;;;;;;;;;
83;422;LTI-GI306482B;LTI-GI306482;304L;2B;0,50;762;10.100;9.965;0;80;0;0;55;;;;;;;;;;;;;;;;;;
85;421;LTI-GI306325A1+A2;LTI-GI306325;304L;2B;0,60;770;8.150;8.120;0;65;0;0;-35;;;;;;;;;;;;;;;;;;
86;421;LTI-GI306095A1+A2;LTI-GI306095;304L;2B;1,00;770;6.035;5.985;0;45;0;0;5;;;;;;;;;;;;;;;;;;
87;400;EM204693A1-5+B1-5;EM204693;J3;2B;0,75;620;9.945;9.725;0;0;0;106;114;;;;;;;;;;;;;;;;;;
88;422;LTI-GI306477A+B;LTI-GI306477;304L;2B;0,40;763;8.165;8.090;0;75;0;0;0;;;;;;;;;;;;;;;;;;
