id,lokasi_akses,jumlah_pengguna,satuan,tahun
179,KEPANJEN,14,USER,2022
180,LHOKSEUMAWE,14,USER,2022
181,NAGREG,14,USER,2022
182,PROBOLINGGO,14,USER,2022
183,PURWOREJO,14,USER,2022
184,SALAM,14,USER,2022
185,SOLOKAN JERUK,14,USER,2022
186,BENGALURU,13,USER,2022
187,BLITAR,13,USER,2022
188,BOYOLALI,13,USER,2022
189,CIAMPEA,13,USER,2022
190,LEUWILIANG,13,USER,2022
191,MOJOKERTO,13,USER,2022
192,NGANJUK,13,USER,2022
193,RIYADH,13,USER,2022
194,SINGKAWANG,13,USER,2022
195,DUMAI,12,USER,2022
196,GEMPOL,12,USER,2022
197,REMBANG,12,USER,2022
198,SINGAPARNA,12,USER,2022
199,TEGAL,12,USER,2022
200,TEMANGGUNG,12,USER,2022
201,AMSTERDAM,11,USER,2022
202,CIKALONG,11,USER,2022
203,CIPEUNDEUY,11,USER,2022
204,JONGGOL,11,USER,2022
205,KANIGORO,11,USER,2022
206,MERTOYUDAN,11,USER,2022
207,NABIRE,11,USER,2022
208,PARAPAT,11,USER,2022
209,PARUNG PANJANG,11,USER,2022
210,PORTLAND,11,USER,2022
211,PUNGGING,11,USER,2022
212,TANJUNG PANDAN,11,USER,2022
213,CHUO CITY,10,USER,2022
214,CISEENG,10,USER,2022
215,GIANYAR,10,USER,2022
216,KARANGANYAR,10,USER,2022
217,PANGKAL PINANG,10,USER,2022
218,PLUMBON,10,USER,2022
219,SUNNYVALE,10,USER,2022
220,SUTOJAYAN,10,USER,2022
221,WONOSOBO,10,USER,2022
222,AL AIN,9,USER,2022
223,BRNO,9,USER,2022
224,FOREST CITY,9,USER,2022
225,ISTANBUL,9,USER,2022
226,MAGELANG,9,USER,2022
227,MANOKWARI,9,USER,2022
228,TENGGARONG,9,USER,2022
229,BANTUL,8,USER,2022
230,MELBOURNE,8,USER,2022
231,MENGWI,8,USER,2022
232,NAALDWIJK,8,USER,2022
233,PERTH,8,USER,2022
234,SAN FRANCISCO,8,USER,2022
235,ABU DHABI,7,USER,2022
236,BANDAR SERI BEGAWAN,7,USER,2022
237,BANYUWANGI,7,USER,2022
238,BONTANG,7,USER,2022
239,CILILIN,7,USER,2022
240,GRESIK,7,USER,2022
241,GUNUNG SINDUR,7,USER,2022
242,HAARLEM,7,USER,2022
243,LAS VEGAS,7,USER,2022
244,NAIROBI,7,USER,2022
245,PALIMANAN,7,USER,2022
246,PURWODADI,7,USER,2022
247,SAARBRUCKEN,7,USER,2022
248,TANJUNG PINANG,7,USER,2022
249,BANGKALAN,6,USER,2022
250,DEMAK,6,USER,2022
251,DUBAI,6,USER,2022
252,FRANKFURT,6,USER,2022
253,GUANGZHOU,6,USER,2022
254,JOHOR BAHRU,6,USER,2022
